L,M,P,kUn,kLn,kU,kL,RF,KF,Trip,TripL,Align,Sim,Node,nPH85,MAST,pathdist,pathdistw,BHV,KC,KCw
0.0040051071,7.04927693174E-07,0.0973889871,0.7805966435,0.2137580442,0.037953988,0.0706647666,20.54,1090.1134229876,0.3155294118,345.7834363681,5.7951816239,0.3499332323,1.1920759357,0.7286666667,7.58,23.8917468798,7648.0394817619,1233.0850487463,16.9990213319,3232.605083138
0.0041366559,0.0470905455,0.071284057,0.7559202186,0.0249493748,0.0238054376,0.0019446036,27.5,1222.1568947882,0.66025,676.8267498902,6.6237314075,0.6330481884,1.2885683622,0.982,10.72,34.7987105963,8672.2008068345,1465.1967688485,25.4470586924,3556.4441367769
0.0043150934,0.0005648111,0.5774612438,0.7690829075,0.4329796645,0.2841773503,0.5054118447,16.06,870.1597759704,0.2957941177,297.0333788496,5.6070306638,0.3804277272,1.1417891361,0.578,6.09,21.4170312318,5302.9059406916,1057.0883036994,15.9419261128,2385.6820423588
0.0043694158,1.40646608231E-06,0.9867594216,0.9813084427,0.9705469932,0.9661183873,0.9834077704,0.48,66.2219381131,0.0094705882,10.9496483005,0.3304914252,0.0209522115,0.0768154205,0.02,0.21,1.0208136373,311.0184408696,402.7199575747,1.0381793495,207.6584397592
0.0045702927,0.2874046537,0.2650304571,0.7529541975,0.0180165247,0.050610398,1.9606349048622E-47,27.7,1109.3080134284,0.6706323529,627.5826248209,6.5935778943,0.6574895666,1.2604985355,0.99,10.83,34.9285378504,7242.3157637302,1365.358122481,25.4891933985,3237.3337723162
0.004688671,0.0773160701,0.2854159243,0.7509834125,0.0190392702,0.0467739523,0.0016552597,27.58,1123.5505630182,0.6622794118,625.335182835,6.563764319,0.66425744,1.2718261538,0.9853333333,10.62,34.6674093456,7367.4440089951,1372.1478048095,25.2940101063,3293.9124352975
0.0047776501,0.0055953661,0.0940185242,0.7719146093,0.0923607429,0.039170125,0.0345964554,26.34,1149.1780633634,0.6202058824,624.3567758257,6.3570096293,0.5889010443,1.25584418,0.9426666667,9.94,32.4973087866,7975.508696522,1394.8272052771,23.9451089153,3331.5155469316
0.0050240461,0.000538237,0.6472709993,0.7946732726,0.4921467151,0.3583835765,0.5647114737,15,850.9749397029,0.2873970588,283.7206125027,5.7403950494,0.3606190025,1.1696244835,0.546,5.61,20.4166967172,5087.2975173495,1034.3140990444,15.9170155841,2466.4375835366
0.0051865079,3.6595990772E-06,0.2135746241,0.7826690968,0.3104801162,0.105027197,0.2300470959,17.74,886.5459132097,0.2688823529,274.0582046115,5.8297955933,0.2991865911,1.1903707797,0.6286666667,6.92,22.1113988139,5566.5605812036,1032.9831445519,15.8308510329,2433.1887964881
0.0053336289,0.0562362486,0.1327269846,0.7479992567,0.0248818987,0.0258880474,0.0053476107,27.58,1122.7284100912,0.6548529412,613.6076307734,6.678958597,0.6499387697,1.284939706,0.986,10.67,34.9244731586,7317.0583497122,1363.8920835028,25.3355132486,3366.7398245147
0.0054089544,0.0001165142,0.8435754717,0.836097582,0.7053436377,0.6081838874,0.7986269181,7.12,533.9731375708,0.1408676471,139.6082395511,3.6730296925,0.1963750318,0.8211477243,0.2613333333,3.09,12.6023933134,2934.9312948157,715.8930478889,9.7964753191,1502.1471147248
0.0055369895,0.0002154484,0.1849512113,0.7839020117,0.2871244684,0.0833030092,0.1938397029,19.28,894.1808568488,0.3281176471,327.1029763505,6.002254995,0.3517788598,1.217361817,0.694,7.38,23.5242400911,5617.1686942053,1092.6865134049,17.5209101527,2281.3808710385
0.0057273022,7.5930182233E-07,0.484837077,0.7828474233,0.4452902294,0.2565887583,0.4876902359,13.46,713.5713255019,0.2093382353,205.7164340799,5.5799822122,0.2484831981,1.1382287955,0.4806666667,5.76,18.1914348651,4298.6978704036,865.781892426,13.3906975423,2050.2303465346
0.0059604443,0.0012875682,0.2379445303,0.7770818053,0.2852905681,0.0960201052,0.1905075337,21.12,886.7968519913,0.3925441176,369.6970103696,6.1155677101,0.4214112952,1.2140514303,0.7606666667,7.83,25.5666397551,5320.7430023231,1123.0726133401,18.6659738105,2357.584469571
